Sub	Task	Good_Runs
sub-1001	mid	2
sub-1002	mid	2
sub-1003	mid	1
sub-1004	mid	2
sub-1006	mid	3
sub-1007	mid	2
sub-1009	mid	2
sub-1010	mid	2
sub-1011	mid	2
sub-1012	mid	2
sub-1013	mid	2
sub-1015	mid	2
sub-1016	mid	2
sub-1019	mid	2
sub-1021	mid	2
sub-1242	mid	1
sub-1243	mid	2
sub-1244	mid	2
sub-1245	mid	2
sub-1247	mid	2
sub-1248	mid	2
sub-1249	mid	1
sub-1255	mid	2
sub-1276	mid	1
sub-1282	mid	1
sub-1286	mid	2
sub-1294	mid	1
sub-1300	mid	1
sub-1301	mid	2
sub-1302	mid	1
sub-1303	mid	1
sub-3101	mid	1
sub-3116	mid	1
sub-3122	mid	1
sub-3125	mid	1
sub-3140	mid	1
sub-3143	mid	1
sub-3166	mid	1
sub-3167	mid	1
sub-3170	mid	1
sub-3173	mid	1
sub-3175	mid	1
sub-3176	mid	1
sub-3189	mid	1
sub-3190	mid	1
sub-3199	mid	1
sub-3200	mid	1
sub-3206	mid	1
sub-3212	mid	1
sub-3218	mid	1
sub-3220	mid	1
