subj	tsnr	fd_mean
1001	-0.3797446106	0.0301170839
1002	1.0998339319	-1.1429988875
1003	-0.1147367984	0.1059811988
1004	-0.0767536111	-0.4748562279
1006	1.3601292094	-0.8707646682
1007	0.4264410666	-0.7369601646
1009	1.2384421143	0.0365176264
1010	-0.4802469145	0.0558513766
1011	-0.0492785457	0.495951694
1012	1.95094359	-1.0661112013
1013	1.7074332524	-1.3171666851
1015	0.8078883721	0.2153012679
1016	1.3488516514	-0.7561841009
1019	-0.121838209	-0.1038254936
1021	0.1816320624	-0.202611647
1242	-0.1008094855	-1.0379976415
1243	-0.1422732258	2.9218985506
1244	0.0928398917	1.0294224235
1245	0.1527516493	-0.7544243164
1247	-1.0679436998	1.0921034559
1248	1.4725212578	-0.9445806651
1249	0.014970838	0.8203562833
1255	-0.1081635963	-0.1611444171
1276	-0.7429610267	-0.1081774997
1282	1.4054877154	-1.1414541516
1286	-1.2228412232	-0.3134318699
1294	-1.0670100361	-0.2622617469
1300	-1.6569186197	1.6714872665
1301	-0.2676374211	1.1877329558
1302	-0.4923705762	-0.2248797946
1303	-0.6140702194	-0.3004171677
3101	-1.4600242022	0.9812097884
3116	0.7083884634	-0.1696041748
3122	-0.8738469895	-0.0769579683
3125	-1.4141821443	2.6708921654
3140	-0.4497309848	0.819021094
3143	-0.4038759621	-0.7668026966
3166	0.8011562013	-0.1720967839
3167	0.8321811377	0.7387542004
3170	1.6078066971	-1.436901507
3173	0.4179798725	-1.3588774329
3175	-1.2943469766	1.2796080798
3176	0.196222914	0.5135701121
3189	0.4218298748	-0.7482187471
3190	-0.8613733952	0.0087789381
3199	1.1681771487	-0.4436545469
3200	0.4323449918	-0.2459450413
3206	-1.5633641129	1.7781714885
3212	0.9420588125	-1.9008848274
3218	-1.6011561756	-0.2495899808
3220	-2.160813954	1.0370550039
